Date,t,Open,High,Low,Close
7/6/2020,2625,9072.85,9375.47,9058.66,9375.47
7/5/2020,2624,9126.09,9162.18,8977.02,9073.94
7/4/2020,2623,9084.23,9183.3,9053.63,9132.49
7/3/2020,2622,9124.84,9202.34,9058.79,9087.3
7/2/2020,2621,9231.14,9274.96,9036.62,9123.41
7/1/2020,2620,9145.99,9309.75,9104.73,9228.33
6/30/2020,2619,9185.58,9217.84,9084.84,9137.99
6/29/2020,2618,9140.03,9237.57,9041.88,9190.85
6/28/2020,2617,9048.46,9197.55,8975.53,9143.58
6/27/2020,2616,9167.82,9207.81,8998.22,9045.39
6/26/2020,2615,9260.99,9310.52,9101.74,9162.92
6/25/2020,2614,9314.13,9340.16,9095.32,9264.81
6/24/2020,2613,9632.15,9680.37,9278.23,9313.61
6/23/2020,2612,9644.08,9670.54,9547.25,9629.66
6/22/2020,2611,9300.92,9655.07,9296.87,9648.72
6/21/2020,2610,9330.93,9401.11,9300.43,9303.63
6/20/2020,2609,9290.96,9394.97,9247.38,9332.34
6/19/2020,2608,9410.29,9440.88,9274.3,9288.02
6/18/2020,2607,9481.57,9482.78,9328.4,9411.84
6/17/2020,2606,9533.78,9540.42,9327.34,9480.26
6/16/2020,2605,9454.27,9579.43,9400.45,9538.02
6/15/2020,2604,9386.04,9504.86,8990.18,9450.7
6/14/2020,2603,9477.55,9482.27,9347.59,9386.79
6/13/2020,2602,9480.74,9493.21,9396.01,9475.28
6/12/2020,2601,9320.69,9540.47,9285.85,9480.84
6/11/2020,2600,9870.08,9938.3,9263.07,9321.78
6/10/2020,2599,9794.12,9908.9,9728.29,9870.09
6/9/2020,2598,9774.36,9836.37,9664.72,9795.7
6/8/2020,2597,9760.06,9782.31,9675.89,9771.49
6/7/2020,2596,9653,9768.5,9458.15,9758.85
6/6/2020,2595,9664.9,9773.43,9591.02,9653.68
6/5/2020,2594,9800.22,9869.24,9663.22,9665.53
6/4/2020,2593,9655.85,9887.61,9525.25,9800.64
6/3/2020,2592,9533.76,9682.86,9471.85,9656.72
6/2/2020,2591,10162.97,10182.34,9460.57,9529.8
6/1/2020,2590,9463.61,10199.56,9450.9,10167.27
5/31/2020,2589,9700.11,9700.34,9432.3,9461.06
5/30/2020,2588,9438.91,9704.03,9366.73,9700.41
5/29/2020,2587,9528.36,9573.67,9379.34,9439.12
5/28/2020,2586,9184.94,9546.32,9148.46,9525.75
5/27/2020,2585,8837.38,9203.32,8834.16,9181.02
5/26/2020,2584,8909.59,8991.97,8757.29,8835.05
5/25/2020,2583,8786.11,8951.01,8719.67,8906.93
5/24/2020,2582,9212.28,9288.4,8787.25,8790.37
5/23/2020,2581,9185.06,9302.5,9118.11,9209.29
5/22/2020,2580,9080.33,9232.94,9008.64,9182.58
5/21/2020,2579,9522.74,9555.24,8869.93,9081.76
5/20/2020,2578,9725.33,9804.79,9447.2,9522.98
5/19/2020,2577,9727.06,9836.05,9539.62,9729.04
5/18/2020,2576,9675.69,9906.03,9570.36,9726.57
5/17/2020,2575,9374.93,9823,9349.55,9670.74
5/16/2020,2574,9333.24,9564.2,9260.69,9377.01
5/15/2020,2573,9734.29,9755.83,9261.4,9328.2
5/14/2020,2572,9271.33,9793.27,9255.03,9733.72
5/13/2020,2571,8805.39,9317.88,8805.39,9269.99
5/12/2020,2570,8610.39,8949.9,8569.64,8804.48
5/11/2020,2569,8755.54,9033.47,8374.32,8601.8
5/10/2020,2568,9591.17,9595.58,8395.11,8756.43
5/9/2020,2567,9840.91,9913.86,9580.64,9593.9
5/8/2020,2566,9936.16,9996.74,9767.17,9842.67
5/7/2020,2565,9261.9,9992.66,9138.32,9951.52
5/6/2020,2564,9007.44,9411.47,8966.71,9268.76
5/5/2020,2563,8912.83,9062.41,8856.83,9003.07
5/4/2020,2562,8895.74,8956.91,8645.02,8912.65
5/3/2020,2561,8983.61,9167.78,8830.97,8897.47
5/2/2020,2560,8869.06,9007.19,8811.37,8988.6
5/1/2020,2559,8672.78,9048.02,8667.76,8864.77
4/30/2020,2558,8797.67,9440.65,8533.26,8658.55
4/29/2020,2557,7806.71,8871.75,7786.05,8801.04
4/28/2020,2556,7796.97,7814.53,7730.81,7807.06
4/27/2020,2555,7679.42,7795.6,7679.42,7795.6
4/26/2020,2554,7570.14,7700.59,7561.41,7679.87
4/25/2020,2553,7550.48,7641.36,7521.67,7569.94
4/24/2020,2552,7434.18,7574.2,7434.18,7550.9
4/23/2020,2551,7121.31,7491.78,7081.59,7429.72
4/22/2020,2550,6879.44,7145.87,6867.78,7117.21
4/21/2020,2549,6879.78,6934.55,6834.44,6880.32
4/20/2020,2548,7186.87,7240.29,6835.5,6881.96
4/19/2020,2547,7260.92,7280.52,7167.05,7189.42
4/18/2020,2546,7092.29,7269.96,7089.25,7257.66
4/17/2020,2545,7116.55,7167.18,7050.33,7096.18
4/16/2020,2544,6640.45,7134.45,6555.5,7116.8
4/15/2020,2543,6845.56,6928.66,6633.4,6642.11
4/14/2020,2542,6843.28,6958.56,6793.82,6842.43
4/13/2020,2541,6965.62,6965.62,6668.26,6845.04
4/12/2020,2540,6858.07,7119.95,6811.08,6971.09
4/11/2020,2539,6867.44,6926.07,6789.92,6859.08
4/10/2020,2538,7303.82,7303.82,6802.47,6865.49
4/9/2020,2537,7337.97,7341.45,7179.09,7302.09
4/8/2020,2536,7179.28,7356.22,7153.31,7334.1
4/7/2020,2535,7273.64,7427.94,7136.71,7176.41
4/6/2020,2534,6788.05,7271.78,6782.89,7271.78
4/5/2020,2533,6862.54,6883.41,6715.93,6791.13
4/4/2020,2532,6738.38,6878.95,6696.48,6867.53
4/3/2020,2531,6797.4,7003.22,6673.34,6733.39
4/2/2020,2530,6606.78,7088.25,6595.92,6793.62
4/1/2020,2529,6437.32,6612.57,6202.37,6606.78
3/31/2020,2528,6430.61,6504.52,6374.16,6438.64
3/30/2020,2527,5925.54,6517.2,5903.23,6429.84
3/29/2020,2526,6245.62,6250.47,5920.09,5922.04
3/28/2020,2525,6467.25,6467.5,6117.84,6242.19
3/27/2020,2524,6719.39,6793.84,6466.7,6469.8
3/26/2020,2523,6675.17,6735.46,6590.96,6716.44
3/25/2020,2522,6738.72,6892.51,6536.93,6681.06
3/24/2020,2521,6436.64,6789.02,6411.07,6734.8
3/23/2020,2520,5831.37,6443.93,5785,6416.31
3/22/2020,2519,6185.56,6359.7,5823.71,5830.25
3/21/2020,2518,6206.52,6378.14,5932.82,6185.07
3/20/2020,2517,6191.65,6844.26,5865.78,6198.78
3/19/2020,2516,5245.42,6329.74,5236.97,6191.19
3/18/2020,2515,5227.11,5331.83,5069.34,5238.44
3/17/2020,2514,5002.58,5371.35,4981.91,5225.63
3/16/2020,2513,5385.23,5385.23,4575.36,5014.48
3/15/2020,2512,5201.07,5836.65,5169.28,5392.31
3/14/2020,2511,5573.08,5625.23,5125.07,5200.37
3/13/2020,2510,5017.83,5838.11,4106.98,5563.71
3/12/2020,2509,7913.62,7929.12,4860.35,4970.79
3/11/2020,2508,7910.09,7950.81,7642.81,7911.43
3/10/2020,2507,7922.15,8136.95,7814.76,7909.73
3/9/2020,2506,8111.15,8177.79,7690.1,7923.64
3/8/2020,2505,8908.21,8914.34,8105.25,8108.12
3/7/2020,2504,9121.6,9163.22,8890.74,8909.95
3/6/2020,2503,9078.31,9167.7,9032.08,9122.55
3/5/2020,2502,8760.29,9142.05,8757.25,9078.76
3/4/2020,2501,8788.54,8843.37,8712.43,8755.25
3/3/2020,2500,8865.39,8901.6,8704.99,8787.79
3/2/2020,2499,8563.26,8921.31,8532.63,8869.67
3/1/2020,2498,8599.76,8726.8,8471.21,8562.45
2/29/2020,2497,8671.21,8775.63,8599.51,8599.51
2/28/2020,2496,8788.73,8890.46,8492.93,8672.46
2/27/2020,2495,8825.09,8932.89,8577.2,8784.49
2/26/2020,2494,9338.29,9354.78,8704.43,8820.52
2/25/2020,2493,9651.31,9652.74,9305.02,9341.71
2/24/2020,2492,9921.58,9951.75,9537.04,9650.17
2/23/2020,2491,9663.32,9937.4,9657.79,9924.52
2/22/2020,2490,9687.71,9698.23,9600.73,9663.18
2/21/2020,2489,9611.78,9723.01,9589.74,9686.44
2/20/2020,2488,9629.33,9643.22,9507.9,9608.48
2/19/2020,2487,10143.8,10191.68,9611.22,9633.39
2/18/2020,2486,9691.23,10161.94,9632.38,10142
2/17/2020,2485,9936.56,9938.82,9507.64,9690.14
2/16/2020,2484,9889.18,10053.97,9722.39,9934.43
2/15/2020,2483,10313.86,10341.56,9874.43,9889.42
2/14/2020,2482,10211.55,10322,10125.53,10312.12
2/13/2020,2481,10323.96,10457.63,10116.16,10214.38
2/12/2020,2480,10202.39,10393.61,10202.39,10326.05
2/11/2020,2479,9855.89,10210.05,9729.33,10208.24
2/10/2020,2478,10115.56,10165.77,9784.56,9856.61
2/9/2020,2477,9863.89,10129.44,9850.39,10116.67
2/8/2020,2476,9793.07,9876.75,9678.91,9865.12
2/7/2020,2475,9726,9834.72,9726,9795.94
2/6/2020,2474,9617.82,9824.62,9539.82,9729.8
2/5/2020,2473,9183.42,9701.3,9163.7,9613.42
2/4/2020,2472,9292.84,9331.27,9112.81,9180.96
2/3/2020,2471,9344.68,9540.37,9248.63,9293.52
2/2/2020,2470,9389.82,9468.8,9217.82,9344.37
2/1/2020,2469,9346.36,9439.32,9313.24,9392.88
1/31/2020,2468,9508.31,9521.71,9230.78,9350.53
1/30/2020,2467,9316.02,9553.13,9230.9,9508.99
1/29/2020,2466,9357.47,9406.43,9269.47,9316.63
1/28/2020,2465,8912.52,9358.59,8908.45,9358.59
1/27/2020,2464,8597.31,8977.73,8597.31,8909.82
1/26/2020,2463,8364.41,8602.4,8325.5,8596.83
1/25/2020,2462,8440.12,8458.45,8296.22,8367.85
1/24/2020,2461,8405.57,8514.67,8266.84,8445.43
1/23/2020,2460,8680.65,8687.75,8333.64,8406.52
1/22/2020,2459,8744.21,8792.99,8636.75,8680.88
1/21/2020,2458,8658.99,8755.71,8544.52,8745.89
1/20/2020,2457,8704.63,8745.59,8560.47,8657.64
1/19/2020,2456,8941.45,9164.36,8620.08,8706.25
1/18/2020,2455,8927.21,9012.2,8827.33,8942.81
1/17/2020,2454,8725.21,8958.12,8677.32,8929.04
1/16/2020,2453,8812.48,8846.46,8612.1,8723.79
1/15/2020,2452,8825.34,8890.12,8657.19,8807.01
1/14/2020,2451,8140.93,8879.51,8140.93,8827.76
1/13/2020,2450,8189.77,8197.79,8079.7,8144.19
1/12/2020,2449,8033.26,8200.06,8009.06,8192.49
