Date,t,Open,High,Low,Close,,
3/8/2020,899,4.35,4.43,3.9,4.09,,
3/7/2020,898,4.68,4.68,4.34,4.34,,
3/6/2020,897,4.72,4.75,4.57,4.68,,
3/5/2020,896,4.64,4.89,4.64,4.72,,
3/4/2020,895,4.58,4.95,4.56,4.64,,
3/3/2020,894,4.21,4.66,4.15,4.58,,
3/2/2020,893,3.88,4.31,3.83,4.22,,
3/1/2020,892,4.11,4.2,3.79,3.88,,
2/29/2020,891,4.16,4.35,4.11,4.11,,
2/28/2020,890,3.95,4.2,3.79,4.16,,
2/27/2020,889,3.6,4.11,3.46,3.95,,
2/26/2020,888,3.51,3.83,3.34,3.6,,
2/25/2020,887,3.91,3.95,3.51,3.51,,
2/24/2020,886,4.24,4.27,3.82,3.91,,
2/23/2020,885,4.11,4.36,4.09,4.24,,
2/22/2020,884,4.29,4.34,4.07,4.1,,
2/21/2020,883,4.27,4.48,4.21,4.29,,
2/20/2020,882,4.4,4.47,4.13,4.27,,
2/19/2020,881,4.55,4.82,4.36,4.4,,
2/18/2020,880,4.3,4.59,4.16,4.54,,
2/17/2020,879,4.49,4.55,3.88,4.3,,
2/16/2020,878,4.31,4.83,4.15,4.5,,
2/15/2020,877,4.41,4.61,4.11,4.3,,
2/14/2020,876,3.88,4.47,3.81,4.41,,
2/13/2020,875,4.02,4.09,3.77,3.87,,
2/12/2020,874,3.98,4.19,3.87,4.03,,
2/11/2020,873,3.41,3.98,3.36,3.98,,
2/10/2020,872,3.48,3.48,3.29,3.41,,
2/9/2020,871,3.41,3.48,3.27,3.48,,
2/8/2020,870,3.3,3.45,3.15,3.41,,
2/7/2020,869,2.88,3.35,2.88,3.31,,
2/6/2020,868,2.85,2.93,2.81,2.88,,
2/5/2020,867,2.74,2.87,2.73,2.85,,
2/4/2020,866,2.77,2.8,2.69,2.74,,
2/3/2020,865,2.83,2.86,2.76,2.77,,
2/2/2020,864,2.84,2.89,2.74,2.83,,
2/1/2020,863,2.82,2.87,2.76,2.84,,
1/31/2020,862,2.92,2.92,2.78,2.82,,
1/30/2020,861,2.78,2.94,2.72,2.91,,
1/29/2020,860,2.66,2.81,2.65,2.79,,
1/28/2020,859,2.61,2.67,2.6,2.66,,
1/27/2020,858,2.57,2.68,2.57,2.61,,
1/26/2020,857,2.46,2.57,2.44,2.57,,
1/25/2020,856,2.5,2.51,2.43,2.46,,
1/24/2020,855,2.47,2.53,2.37,2.5,,
1/23/2020,854,2.65,2.65,2.44,2.46,,
1/22/2020,853,2.68,2.69,2.63,2.65,,
1/21/2020,852,2.7,2.74,2.58,2.67,,
1/20/2020,851,2.62,2.74,2.55,2.7,,
1/19/2020,850,2.78,2.84,2.56,2.62,,
1/18/2020,849,2.72,2.79,2.6,2.77,,
1/17/2020,848,2.48,2.84,2.47,2.72,,
1/16/2020,847,2.41,2.5,2.3,2.48,,
1/15/2020,846,2.38,2.57,2.36,2.4,,
1/14/2020,845,2.19,2.45,2.18,2.39,,
1/13/2020,844,2.24,2.24,2.16,2.19,,
1/12/2020,843,2.28,2.31,2.23,2.25,,
1/11/2020,842,2.22,2.33,2.22,2.28,,
1/10/2020,841,2.19,2.26,2.16,2.22,,
1/9/2020,840,2.18,2.23,2.11,2.19,,
1/8/2020,839,2.11,2.33,2.11,2.18,,
1/7/2020,838,1.93,2.13,1.91,2.11,,
1/6/2020,837,1.81,1.94,1.81,1.94,,
1/5/2020,836,1.84,1.86,1.8,1.81,,
1/4/2020,835,1.81,1.85,1.79,1.84,,
1/3/2020,834,1.74,1.83,1.71,1.81,,
1/2/2020,833,1.81,1.82,1.72,1.74,,
1/1/2020,832,1.77,1.85,1.76,1.81,,
12/31/2019,831,1.84,1.84,1.76,1.77,,
12/30/2019,830,1.9,1.91,1.83,1.84,,
12/29/2019,829,1.87,1.92,1.86,1.9,,
12/28/2019,828,1.89,1.91,1.87,1.87,,
12/27/2019,827,1.86,1.95,1.85,1.89,,
12/26/2019,826,1.81,1.94,1.79,1.86,,
12/25/2019,825,1.86,1.86,1.79,1.8,,
12/24/2019,824,1.88,1.89,1.84,1.86,,
12/23/2019,823,1.94,1.96,1.86,1.88,,
12/22/2019,822,1.87,1.95,1.87,1.94,,
12/21/2019,821,1.92,1.93,1.87,1.87,,
12/20/2019,820,1.82,1.92,1.8,1.92,,
12/19/2019,819,1.88,1.89,1.75,1.82,,
12/18/2019,818,1.76,1.88,1.66,1.88,,
12/17/2019,817,1.98,2.01,1.72,1.76,,
12/16/2019,816,2.09,2.09,1.98,1.98,,
12/15/2019,815,2.01,2.12,1.98,2.09,,
12/14/2019,814,2.08,2.09,1.99,2.01,,
12/13/2019,813,2.12,2.13,2.07,2.08,,
12/12/2019,812,2.18,2.2,2.05,2.12,,
12/11/2019,811,2.27,2.3,2.15,2.18,,
12/10/2019,810,2.09,2.28,2.07,2.27,,
12/9/2019,809,2.06,2.09,2.02,2.09,,
12/8/2019,808,2.06,2.09,2.03,2.06,,
12/7/2019,807,2.09,2.11,2.05,2.06,,
12/6/2019,806,2.03,2.1,1.99,2.09,,
12/5/2019,805,2.05,2.11,1.97,2.03,,
12/4/2019,804,2.13,2.14,2.02,2.05,,
12/3/2019,803,2.09,2.2,2.05,2.13,,
12/2/2019,802,2.17,2.18,2.07,2.09,,
12/1/2019,801,2.24,2.24,2.14,2.17,,
11/30/2019,800,2.34,2.36,2.22,2.24,,
11/29/2019,799,2.28,2.36,2.27,2.34,,
11/28/2019,798,2.23,2.33,2.19,2.27,,
11/27/2019,797,2.26,2.29,2.14,2.23,,
11/26/2019,796,2.27,2.36,2.18,2.28,,
11/25/2019,795,2.26,2.38,2.06,2.28,,
11/24/2019,794,2.45,2.47,2.25,2.26,,
11/23/2019,793,2.35,2.46,2.27,2.45,,
11/22/2019,792,2.55,2.59,2.17,2.35,,
11/21/2019,791,2.71,2.71,2.48,2.55,,
11/20/2019,790,2.75,2.83,2.66,2.71,,
11/19/2019,789,2.82,2.86,2.61,2.76,,
11/18/2019,788,2.93,2.98,2.77,2.83,,
11/17/2019,787,3.01,3.01,2.9,2.93,,
11/16/2019,786,3.03,3.05,2.94,3.01,,
11/15/2019,785,3.06,3.08,2.86,3.04,,
11/14/2019,784,3.02,3.18,2.96,3.06,,
11/13/2019,783,2.81,3.08,2.79,3.02,,
11/12/2019,782,2.75,2.87,2.74,2.82,,
11/11/2019,781,2.78,2.78,2.69,2.75,,
11/10/2019,780,2.8,2.85,2.73,2.78,,
11/9/2019,779,2.72,2.86,2.71,2.8,,
11/8/2019,778,2.69,2.73,2.64,2.72,,
11/7/2019,777,2.74,2.75,2.63,2.69,,
11/6/2019,776,2.68,2.81,2.66,2.74,,
11/5/2019,775,2.68,2.7,2.64,2.68,,
11/4/2019,774,2.67,2.73,2.65,2.69,,
11/3/2019,773,2.71,2.72,2.65,2.67,,
11/2/2019,772,2.72,2.76,2.69,2.71,,
11/1/2019,771,2.74,2.8,2.66,2.72,,
10/31/2019,770,2.62,2.76,2.56,2.74,,
